Questions	Buttons
To what extent does our team actively work to balance the workload among our team members?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to assist each other when help is needed?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to inform team members if their work does not meet standards?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to seek to understand each other’s strengths and weaknesses?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to communicate well with each other?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to smoothly integrate our work efforts?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to coordinate our activities with one another?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to re-establish coordination when things go wrong?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to have work products ready when others need them?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to deal with personal conflicts in fair and equitable ways?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to show respect for one another?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to maintain group harmony?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to work hard to minimize dysfunctional conflict among members?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to encourage healthy debate and exchange of ideas?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to take pride in our accomplishments?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to develop confidence in our team’s ability to perform well?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to encourage each other to perform our very best?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to stay motivated, even when things are difficult?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to reward performance achievement among team members?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to share a sense of togetherness and cohesion?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to manage stress?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to keep a good emotional balance in the team?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to keep each other from getting overly emotional or frustrated?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
To what extent does our team actively work to maintain positive work attitudes?	1 not at all, 2 very little, 3 to some extent, 4 to a great extent, 5 to a very great extent
Please describe features of your team, such as the goal and the nature of its task.	
Please describe how your team organized its work.	
Please describe what challenges your team faced.	
What percentage of the necessary technical expertise does your teammate possess on average? (0-100%)	
Please provide a brief rationale for the percentage you assigned.	
What percentage of the necessary design expertise does your teammate possess on average? (0-100%)	
Please provide a brief rationale for the percentage you assigned.	
What percentage of the necessary domain expertise does your teammate possess on average? (0-100%)	
Please provide a brief rationale for the percentage you assigned.	
